text_cleaned,Product
There are many mistakes appear in my report without my understanding ,"Credit reporting, repair, or other"
On XX XX XXXX I sent a request to the three credit bureaus asking them to investigate three errors on my credit report Experian had no problem completing this task as I got my response back from them within a couple of weeks For whatever reason I still have NOT gotten my responses back from XXXX and XXXX XXXX and its been well over 30 days ,"Credit reporting, repair, or other"
I paid off or paid down 6 accounts on XX XX 2019 It says on all 3 credit reporting agencies that my accounts were updated on XX XX XXXX yet none of my accounts show that anything was paid on them but they are showing amounts that are much higher than my available credit line The most I have gone over was 1 00 and that was report ONE day after it went over to the credit reporting agencies even before I knew and was never notified It shouldn t take months to update paid down or paid off accounts when going over 1 00 of a credit limit is reported within a day I also filed discrepancies with all 3 credit bureaus over a year ago and I was told the discrepancies needed to be addressed within 30 days or be removed I never heard back from anyone Unfortunately the credit bureaus are NOT reliable or trust worthy seeing I am an American citizen and have been dealing with this ridiculousness since I started working and illegals who have NO background social security no paying taxes have 1 small line of credit if any at all and have 800 credit scores Completely illegal and discriminatory ,"Credit reporting, repair, or other"
I am a victim of identity theft and identity fraud After viewing my credit report I recognized the inquiries on my report that I did not authorize Creditor XXXX Inquiry date XX XX XXXX Inquiry date XX XX XXXX,"Credit reporting, repair, or other"
Transunion is reporting incorrectly that I am 120 days past due on a loan with the XXXX XXXX XXXX partial account numbers XXXX XXXX XXXX and XXXX I have contacted the bureau and requested these items be deleted or the coding corrected This is harming my credit It is impossible to be past due on accounts that have a 0 00 balance and 0 00 past due amounts ,"Credit reporting, repair, or other"
Transunion is incorrectly reporting a collection for the XXXX of XXXX XXXX partial account number XXXX I contacted this utility directly and provided them with the necessary information so they could look up the account They did not show any record of my ever having an account with them and they verified I did not have any outstanding balance The information on my credit report is in error ,"Credit reporting, repair, or other"
I applied for a credit card through AMEX on XX XX 19 I wanted to transfer the balance on a credit to AMEX to take advantage of a 0 APR transfer for 15months I got approved a line of credit it was lower than what I was looking to transfer Now we all know when you apply for a credit card you do not know what your balance is going to be and if it would be high enough to transfer my existing balance over So I went online to see if the balance could be increased and submitted the request I called AMEX and talked to their credit line department I was told I was denied because I had to be a customer for at least 60 days before I could apply for a credit line increase I was a little taken back on why this information was not provided in any of the disclosures I had just agreed to I was told that it was an internal policy If I am applying for a line of credit I should know everything that will untimely make my decision on whether or not to move forward with the application This information would have made me decide not to apply for the card as I would not know what my initial line was going to be until I had applied The promotion I was taken advantage of is for only good for 60 days I have to wait 60 days to request an increase I find this deceiving If the information about waiting 60 days before a could submit a request to increase my line was provided to me in the disclosures that I had to agree to I would not have applied for the credit card not knowing what my initial credit line offer was going to be if approved So now I have a credit card that is basically useless to me and an inquiry on my credit report If I am applying for a line of credit I should have all the information up front so I can make a decision on whether or not I want to move forward with the application or if the card is right for me Obviously this card was not the right fit for my based off of the information I found out after I applied for it ,Credit card or prepaid card
I have been going over my credit report trying to refinance my home I noticed accounts that I have never done business with and I do not have a contract for business with I was told to file a report and contact the CFPB AND FTC The following accounts are not mine XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX I am not sure who is using my name I use to live in XXXX I now live back to XXXX ,"Credit reporting, repair, or other"
On XX XX 2019 I sent a validation to enhance recovery asking them to validate i requested proof that I am indeed the party they were asking to pay this debt and there is some contractual obligation that is binding on me to pay this debt I asked for a signed contract Instead the documentation I received was a copy of a phone bill statement What Did the COllection agency use what did they send the credit bureaus to verify that the account was accurate and please ask them to validate the debt If they are unable to validate this debt all references to this account must be deleted and completely removed from my credit file and a copy of such deletion request shall be sent to me immediately ,Debt collection
inaccurate information,"Credit reporting, repair, or other"
CitiCard CitiBank They have multiple times stated that its been verified but they havent shown me any documentation to assist in where to dispute next There is literally no way they can prove something that didnt happen did ,Debt collection
I was reviewing credit card statements and noticed that a XXXX charge of 19 00 has been charged every month starting on XX XX 18 to current This is a service that I never signed up for ,Credit card or prepaid card
Account information was found to be invalid Account was removed years ago after validation then reappeared XX XX XXXX I have not had a XXXX account since XX XX XXXX Debt does not belong to me ,"Credit reporting, repair, or other"
I am very concerned about the validity and accuracy of the recent investigation done by Experian I requested for an investigation because the accounts have nothing to do with me I am a victim of identity theft and the accounts are not my responsibility Experian failed to give me the result of their investigation I assume they were unable to verify it The error has affected my credit score tremendously CFPB please step up and delete this ASAP this is very exhausting nobody wants to grant me a loan because of this XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXXXX,"Credit reporting, repair, or other"
There are inquires on my credit report that I do not recognize and that I did not authorize,"Credit reporting, repair, or other"
